iter	Passed	Remaining
1121	11145	13688
1122	11152	13675
1123	11161	13663
1124	11169	13651
1125	11177	13639
1126	11184	13626
1127	11192	13613
1128	11200	13601
1129	11210	13591
1130	11218	13578
1131	11226	13566
1132	11233	13553
1133	11240	13540
1134	11247	13527
1135	11254	13513
1136	11262	13500
1137	11268	13486
1138	11275	13472
1139	11282	13459
1140	11289	13446
1141	11296	13432
1142	11313	13431
1143	11363	13469
1144	11373	13460
1145	11385	13451
1146	11392	13437
1147	11398	13424
1148	11405	13410
1149	11411	13396
1150	11418	13382
1151	11425	13369
1152	11431	13355
1153	11440	13344
1154	11446	13329
1155	11454	13316
1156	11461	13303
1157	11467	13289
1158	11476	13278
1159	11482	13264
1160	11491	13253
1161	11498	13239
1162	11504	13226
1163	11512	13213
1164	11520	13202
1165	11527	13187
1166	11536	13177
1167	11543	13164
1168	11551	13152
1169	11558	13139
1170	11566	13126
1171	11575	13115
1172	11583	13104
1173	11591	13091
1174	11598	13079
1175	11606	13067
1176	11614	13054
1177	11622	13043
1178	11629	13030
1179	11637	13018
1180	11645	13006
1181	11653	12994
1182	11661	12982
1183	11670	12971
1184	11680	12961
1185	11692	12954
1186	11704	12946
1187	11717	12940
1188	11724	12927
1189	11736	12920
1190	11744	12907
1191	11752	12896
1192	11760	12884
1193	11768	12872
1194	11775	12859
1195	11799	12865
1196	11815	12862
1197	11829	12856
1198	11867	12877
1199	11877	12867
1200	11885	12855
1201	11892	12842
1202	11900	12830
1203	11906	12816
1204	11914	12804
1205	11921	12791
1206	11929	12780
1207	11938	12768
1208	11953	12763
1209	11962	12753
1210	11970	12741
1211	11978	12729
1212	11986	12717
1213	11993	12705
1214	12001	12693
1215	12008	12680
1216	12016	12668
1217	12023	12655
1218	12030	12642
1219	12037	12629
1220	12043	12616
1221	12050	12602
1222	12056	12589
1223	12063	12576
1224	12070	12562
1225	12076	12549
1226	12083	12536
1227	12090	12523
1228	12097	12511
1229	12105	12498
1230	12113	12487
1231	12120	12475
1232	12128	12463
1233	12136	12450
1234	12144	12439
1235	12151	12427
1236	12160	12416
1237	12167	12403
1238	12175	12392
1239	12183	12380
1240	12191	12368
1241	12198	12356
1242	12206	12343
1243	12213	12331
1244	12221	12319
1245	12228	12306
1246	12235	12294
1247	12242	12282
1248	12248	12268
1249	12255	12255
1250	12263	12243
1251	12270	12231
1252	12277	12218
1253	12283	12205
1254	12290	12192
1255	12296	12179
1256	12304	12167
1257	12311	12154
1258	12317	12141
1259	12325	12129
1260	12331	12116
1261	12338	12104
1262	12405	12149
1263	12415	12140
1264	12446	12151
1265	12527	12210
1266	12538	12202
1267	12552	12196
1268	12564	12188
1269	12579	12182
1270	12598	12181
1271	12628	12191
1272	12643	12186
1273	12664	12187
1274	12694	12196
1275	12712	12194
1276	12722	12184
1277	12729	12171
1278	12740	12162
1279	12746	12149
1280	12753	12136
1281	12759	12122
1282	12766	12109
1283	12772	12096
1284	12779	12083
1285	12786	12070
1286	12792	12057
1287	12799	12044
1288	12805	12030
1289	12812	12017
1290	12818	12004
1291	12825	11991
1292	12831	11978
1293	12838	11965
1294	12845	11952
1295	12851	11938
1296	12857	11925
1297	12863	11912
1298	12870	11899
1299	12876	11886
1300	12883	11873
1301	12889	11860
1302	12895	11846
1303	12902	11833
1304	12909	11820
1305	12915	11807
1306	12922	11795
1307	12928	11781
1308	12934	11768
1309	12942	11756
1310	12948	11743
1311	12955	11731
1312	12967	11723
1313	12982	11717
1314	13000	11715
1315	13021	11715
1316	13038	11711
1317	13051	11705
1318	13060	11694
1319	13067	11681
1320	13076	11671
1321	13083	11658
1322	13092	11647
1323	13099	11634
1324	13107	11623
1325	13114	11610
1326	13124	11601
1327	13131	11589
1328	13145	11582
1329	13163	11579
1330	13179	11575
1331	13193	11568
1332	13213	11568
1333	13224	11558
1334	13233	11548
1335	13245	11540
1336	13254	11529
1337	13264	11519
1338	13273	11509
